auto_scale_mul,canvas_height_px,canvas_width_px,final_scale_mul,group,hitbox_h_px,hitbox_id,hitbox_w_px,hitbox_x_px,hitbox_y_px,preserve_aspect,render_bitmap_h_px,render_bitmap_w_px,render_top_left_x_px,render_top_left_y_px,render_visible_h_px,render_visible_w_px,scale_override_mul,source_bitmap_h_px,source_bitmap_w_px,source_content_h_px,source_content_w_px,source_content_x_px,source_content_y_px,source_file,source_path,status,variant
2.0608,5276,3748,2.0608,control,56.0,DEICE_BOOTS_PWR,56.0,1672.08,232.11,,68,64,1665.84,225.87,52,52,1.0,33,31,25,25,4,4,DEICE_BOOTS_PWR.png,core-res/src/main/assets/cockpit/assets/controls/legacy/DEICE_BOOTS_PWR.png,compiled,legacy
2.0608,5276,3748,2.0608,control,56.0,DEICE_BOOTS_STAB,56.0,1839.17,232.69,,68,64,1832.92,226.45,52,52,1.0,33,31,25,25,4,4,DEICE_BOOTS_STAB.png,core-res/src/main/assets/cockpit/assets/controls/legacy/DEICE_BOOTS_STAB.png,compiled,legacy
2.0608,5276,3748,2.0608,control,56.0,DEICE_BOOTS_VALVE,56.0,1894.51,232.38,,120,146,1853.24,193.17,52,52,1.0,58,71,25,25,21,20,DEICE_BOOTS_VALVE.png,core-res/src/main/assets/cockpit/assets/controls/legacy/DEICE_BOOTS_VALVE.png,compiled,legacy
1.170909,5276,3748,1.170909,control,56.0,EMERG_FUEL_SHUTOFF_L,56.0,1444.75,2618.48,,63,57,1444.88,2615.8,52,37,1.0,54,49,44,32,8,4,EMERG_FUEL_SHUTOFF_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/EMERG_FUEL_SHUTOFF_L.png,compiled,legacy
0.849796,5276,3748,0.849796,control,78.51,FUEL_SELECTOR,48.53,1653.06,3228.81,,72,42,1656.32,3232.06,72,42,1.0,85,50,85,49,0,0,FUEL_SELECTOR.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FUEL_SELECTOR.png,compiled,legacy
1.321026,5276,3748,1.321026,control,56.0,FWD_BOOST_PUMP,56.0,1564.28,3242.17,,119,119,1547.78,3233.6,52,52,1.0,90,90,39,39,14,8,FWD_BOOST_PUMP.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FWD_BOOST_PUMP.png,compiled,legacy
0.982498,5276,3748,0.510899,control,124.95,IGNITION_ARM,60.76,1371.55,1625.28,,62,32,1384.32,1656.22,60,25,0.52,122,63,117,49,10,3,IGNITION_ARM.png,core-res/src/main/assets/cockpit/assets/controls/legacy/IGNITION_ARM.png,compiled,legacy
1.561212,5276,3748,1.561212,control,56.0,IGNITER_L,56.0,1324.24,1773.49,,73,69,1321.56,1765.56,50,52,1.0,47,44,32,33,3,7,IGNITION_ARM_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/IGNITION_ARM_L.png,compiled,legacy
1.561212,5276,3748,1.561212,control,56.0,IGNITER_R,56.0,1405.62,1773.36,,89,91,1390.44,1768.55,50,52,1.0,57,58,32,33,11,5,IGNITION_ARM_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/IGNITION_ARM_R.png,compiled,legacy
0.972075,5276,3748,0.972075,control,56.0,INTAKE_DEFL,56.0,1889.35,102.86,,63,69,1873.85,89.42,44,52,1.0,65,71,45,53,18,20,INTAKE_DEFL.png,core-res/src/main/assets/cockpit/assets/controls/legacy/INTAKE_DEFL.png,compiled,legacy
1.948235,5276,3748,1.948235,control,72.0,INVERTER_1_CB,72.0,2558.93,178.72,,113,127,2534.65,158.35,66,66,1.0,58,65,34,34,14,12,INVERTER_1_CB.png,core-res/src/main/assets/cockpit/assets/controls/legacy/INVERTER_1_CB.png,compiled,legacy
1.948235,5276,3748,1.948235,control,72.0,INVERTER_2_CB,72.0,2605.78,178.94,,113,134,2577.61,158.56,66,66,1.0,58,69,34,34,16,12,INVERTER_2_CB.png,core-res/src/main/assets/cockpit/assets/controls/legacy/INVERTER_2_CB.png,compiled,legacy
0.444138,5276,3748,0.444138,control,56.0,INVERTER_SWITCH,56.0,855.41,352.3,,103,86,843.09,337.86,52,38,1.0,231,193,116,86,48,37,INVERTER_SWITCH.png,core-res/src/main/assets/cockpit/assets/controls/legacy/INVERTER_SWITCH.png,compiled,legacy
0.87322,5276,3748,0.87322,control,56.0,LANDING_LIGHT_L,56.0,1170.66,1773.7,,34,59,1168.29,1785.09,28,52,1.0,39,67,32,59,5,3,LANDING_LIGHT_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/LANDING_LIGHT_L.png,compiled,legacy
0.858667,5276,3748,0.858667,control,56.0,LANDING_LIGHT_R,56.0,1251.79,1773.09,,33,56,1253.79,1783.3,27,52,1.0,39,65,32,60,0,5,LANDING_LIGHT_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/LANDING_LIGHT_R.png,compiled,legacy
2.146667,5276,3748,2.146667,control,56.0,L_DC_GEN,56.0,1661.06,574.8,,69,73,1652.33,570.36,52,52,1.0,32,34,24,24,5,3,L_DC_GEN.png,core-res/src/main/assets/cockpit/assets/controls/legacy/L_DC_GEN.png,compiled,legacy
1.0304,5276,3748,1.0304,control,56.0,NO_SMOKING_LIGHTS,56.0,1914.53,359.37,,68,67,1909.01,351.06,52,32,1.0,66,65,50,31,17,10,NO_SMOKING_LIGHTS.png,core-res/src/main/assets/cockpit/assets/controls/legacy/NO_SMOKING_LIGHTS.png,compiled,legacy
1.985902,5276,3748,1.985902,control,49.65,PITOT_HEAT_SWITCH,52.58,2023.95,469.15,,97,143,1992.48,447.15,46,48,1.0,49,72,23,24,17,12,PITOT_HEAT_SWITCH.png,core-res/src/main/assets/cockpit/assets/controls/legacy/PITOT_HEAT_SWITCH.png,compiled,legacy
1.010196,5276,3748,1.010196,control,56.0,POS_LIGHTS,56.0,1858.96,360.24,,70,68,1857.83,355.17,52,32,1.0,69,67,51,32,13,7,POS_LIGHTS.png,core-res/src/main/assets/cockpit/assets/controls/legacy/POS_LIGHTS.png,compiled,legacy
1.472,5276,3748,1.472,control,56.0,PROP_DEICE,56.0,1721.07,102.62,,130,163,1658.3,65.88,50,52,1.0,88,111,34,35,44,27,PROP_DEICE.png,core-res/src/main/assets/cockpit/assets/controls/legacy/PROP_DEICE.png,compiled,legacy
2.146667,5276,3748,2.146667,control,56.0,R_DC_GEN,56.0,1754.19,573.64,,69,73,1745.46,569.2,52,52,1.0,32,34,24,24,5,3,R_DC_GEN.png,core-res/src/main/assets/cockpit/assets/controls/legacy/R_DC_GEN.png,compiled,legacy
1.0304,5276,3748,1.0304,control,56.0,STBY_BATTERY,56.0,1374.15,1555.32,,59,43,1381.06,1550.1,52,36,1.0,57,42,50,35,3,7,STBY_BATTERY.png,core-res/src/main/assets/cockpit/assets/controls/legacy/STBY_BATTERY.png,compiled,legacy
0.805,5276,3748,0.805,control,56.0,STBY_BOOST_PUMP_AFT,56.0,1448.67,3115.62,,78,109,1427.33,3104.74,52,52,1.0,97,136,64,64,29,16,STBY_BOOST_PUMP_AFT.png,core-res/src/main/assets/cockpit/assets/controls/legacy/STBY_BOOST_PUMP_AFT.png,compiled,legacy
0.746667,5276,3748,0.746667,control,56.0,STBY_BOOST_PUMP_FWD,56.0,1866.1,3122.76,,80,79,1856.66,3115.05,52,48,1.0,107,106,69,64,18,13,STBY_BOOST_PUMP_FWD.png,core-res/src/main/assets/cockpit/assets/controls/legacy/STBY_BOOST_PUMP_FWD.png,compiled,legacy
1.392432,5276,3748,1.392432,control,56.0,STARTER_SWITCH,56.0,1207.78,1673.41,,74,68,1205.21,1653.14,52,50,1.0,53,49,37,36,4,16,STARTER_SWITCH.png,core-res/src/main/assets/cockpit/assets/controls/legacy/STARTER_SWITCH.png,compiled,legacy
1.0304,5276,3748,1.0304,control,56.0,WING_INSPECT,56.0,1833.97,103.28,,67,73,1814.33,87.67,46,52,1.0,65,71,45,50,21,20,WING_INSPECT.png,core-res/src/main/assets/cockpit/assets/controls/legacy/WING_INSPECT.png,compiled,legacy
2.07,5276,3748,2.07,control,72.0,WINDSHIELD_HEAT,72.0,2648.41,1657.96,,106,114,2626.57,1632.98,64,66,1.0,51,55,31,32,12,14,WINDSHIELD_HEAT.png,core-res/src/main/assets/cockpit/assets/controls/legacy/WINDSHIELD_HEAT.png,compiled,legacy
1.61561,5276,3748,1.61561,control,72.0,WINDSHIELD_MODE,72.0,2543.62,1534.73,,78,94,2529.38,1528.04,66,52,1.0,48,58,41,32,15,6,WINDSHIELD_MODE.png,core-res/src/main/assets/cockpit/assets/controls/legacy/WINDSHIELD_MODE.png,compiled,legacy
2.07,5276,3748,2.07,control,72.0,WINDSHIELD_POWER,72.0,2475.3,1533.58,,97,116,2457.6,1525.16,64,66,1.0,47,56,31,32,10,6,WINDSHIELD_POWER.png,core-res/src/main/assets/cockpit/assets/controls/legacy/WINDSHIELD_POWER.png,compiled,legacy
1.743158,5276,3748,1.743158,control,72.0,WINDSHIELD_WASHER,72.0,2649.75,1528.71,,91,105,2635.32,1517.02,64,66,1.0,52,60,37,38,10,9,WINDSHIELD_WASHER.png,core-res/src/main/assets/cockpit/assets/controls/legacy/WINDSHIELD_WASHER.png,compiled,legacy
0.776443,5276,3748,0.776443,control,78.83,AILERON_TRIM,110.56,906.31,4891.31,,95,133,896.61,4887.08,64,102,1.0,122,171,83,131,18,15,AILERON_TRIM.png,core-res/src/main/assets/cockpit/assets/controls/legacy/AILERON_TRIM.png,compiled,legacy
,,,,control,,AUTOFEATHER_SELECT,,,,,,,,,,,,,,,,,,,core-res/src/main/assets/cockpit/assets/controls/legacy/AUTOFEATHER_ARM.png,skipped_panel_chunk,legacy
0.902887,5276,3748,0.902887,control,41.22,FIRE_HANDLE_L,146.93,1507.96,2643.15,,42,137,1511.41,2643.86,38,131,1.0,47,152,42,145,5,1,FIRE_HANDLE_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FIRE_HANDLE_L.png,compiled,legacy
0.842694,5276,3748,0.842694,control,41.22,FIRE_HANDLE_R,144.35,1742.54,2643.15,,40,126,1751.18,2643.08,38,122,1.0,47,150,45,145,3,2,FIRE_HANDLE_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FIRE_HANDLE_R.png,compiled,legacy
0.538537,5276,3748,0.538537,control,72.0,MASTER_CAUTION,72.0,2102.18,2718.95,,51,69,2105.18,2729.45,51,66,1.0,94,128,94,123,0,0,MASTER_CAUTION.png,core-res/src/main/assets/cockpit/assets/controls/legacy/MASTER_CAUTION.png,compiled,legacy
0.528401,5276,3748,0.570673,control,202.52,FLAP_SELECTOR,31.59,1890.02,2088.77,,180,40,1890.32,2164.78,4,31,1.08,316,70,7,55,0,185,FLAP_SELECTOR.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FLAP_SELECTOR.png,compiled,legacy
1.170909,5276,3748,1.170909,control,56.0,EMERG_FUEL_SHUTOFF_R,56.0,1910.7,2617.49,,59,54,1912.01,2614.81,52,37,1.0,50,46,44,32,7,4,EMERG_FUEL_SHUTOFF_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/EMERG_FUEL_SHUTOFF_R.png,compiled,legacy
,,,,control,,FASTEN_SEATBELTS,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,FLIGHT_COMP,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,CAUT_LT_TEST,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,FLOOD_LIGHT,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,AC_FUNCT,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,AC_PWR,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,STAB_DEICE_R,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,STAB_DEICE_L,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,BLEED_AIR_L,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,,,,control,,BLEED_AIR_R,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
0.90386,5276,3748,0.90386,control,56.0,BETA_SYS_CB,56.0,336.65,444.01,,61,57,335.94,441.49,52,52,1.0,67,63,57,57,3,5,BETA_SYS_CB.png,core-res/src/main/assets/cockpit/assets/controls/legacy/BETA_SYS_CB.png,compiled,legacy
0.888276,5276,3748,0.888276,control,56.0,AIL_TRIM_ACT_CB,56.0,338.75,1643.14,,52,53,339.47,1644.25,52,51,1.0,59,60,58,57,2,1,AIL_TRIM_ACT_CB.png,core-res/src/main/assets/cockpit/assets/controls/legacy/AIL_TRIM_ACT_CB.png,compiled,legacy
0.90386,5276,3748,0.90386,control,56.0,HYD_OIL_PUMP_CB,56.0,464.21,872.98,,52,54,464.4,874.08,52,52,1.0,58,60,57,57,2,1,HYD_OIL_PUMP_CB.png,core-res/src/main/assets/cockpit/assets/controls/legacy/HYD_OIL_PUMP_CB.png,compiled,legacy
